epoch,train_loss,detection_accuracy,false_positives,missed_detections,true_positives,total_gt,total_pred
1,0.689019,0.735849,27300,26278,73203,99481,100503
2,0.621909,0.739749,25466,25890,73591,99481,99057
3,0.588936,0.728099,21786,27049,72432,99481,94218
4,0.566868,0.736392,24198,26224,73257,99481,97455
5,0.549014,0.740956,24671,25770,73711,99481,98382
6,0.534924,0.721233,20513,27732,71749,99481,92262
7,0.522796,0.716840,20824,28169,71312,99481,92136
8,0.512194,0.751138,27934,24757,74724,99481,102658
9,0.499709,0.742152,26005,25651,73830,99481,99835
10,0.487731,0.736955,24065,26168,73313,99481,97378
