epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1093.45,1.39878,1.03162,1.22475,0.74263,0.5759,0.66734,0.37691,1.45718,0.99394,1.24657,0.00066631,0.00066631,0.00066631
2,1983.23,1.43646,1.01061,1.24927,0.7588,0.59979,0.69773,0.41323,1.33801,0.91411,1.18707,0.00129174,0.00129174,0.00129174
3,2805.64,1.4004,0.97498,1.22843,0.76885,0.61166,0.71038,0.42326,1.33314,0.89462,1.18265,0.00187592,0.00187592,0.00187592
4,3627.39,1.36104,0.9342,1.2038,0.78369,0.63697,0.73326,0.45094,1.26183,0.83497,1.13721,0.00181438,0.00181438,0.00181438
5,4450.68,1.33053,0.90634,1.18642,0.78014,0.6439,0.7381,0.45705,1.24293,0.82181,1.12717,0.0017525,0.0017525,0.0017525
6,5269.81,1.30448,0.88499,1.1757,0.78902,0.64387,0.74345,0.46882,1.21588,0.79526,1.11761,0.00169063,0.00169063,0.00169063
7,6087.01,1.28518,0.86557,1.16409,0.79647,0.65272,0.7522,0.47423,1.19695,0.79021,1.10653,0.00162875,0.00162875,0.00162875
8,6907.34,1.26911,0.85142,1.15394,0.80096,0.65879,0.75706,0.48007,1.18458,0.77272,1.09539,0.00156688,0.00156688,0.00156688
9,7719.91,1.25897,0.84236,1.14817,0.80205,0.6636,0.76279,0.48496,1.17014,0.77149,1.08817,0.001505,0.001505,0.001505
10,8545.87,1.24525,0.82693,1.13962,0.80279,0.66459,0.76456,0.48971,1.16043,0.75973,1.08117,0.00144312,0.00144312,0.00144312
11,9377.1,1.23221,0.82099,1.13584,0.80752,0.66728,0.76864,0.49478,1.15159,0.7437,1.07951,0.00138125,0.00138125,0.00138125
12,10194.9,1.22636,0.81146,1.12931,0.80793,0.67441,0.77128,0.49775,1.14362,0.73527,1.07614,0.00131938,0.00131938,0.00131938
13,11013.3,1.22073,0.8058,1.1263,0.81317,0.67512,0.77554,0.50277,1.13017,0.7306,1.07065,0.0012575,0.0012575,0.0012575
14,11825,1.20369,0.79608,1.12084,0.81487,0.68143,0.78026,0.50596,1.12465,0.72832,1.06261,0.00119562,0.00119562,0.00119562
15,12632.8,1.19954,0.78688,1.11555,0.81723,0.6813,0.7807,0.50833,1.12023,0.72039,1.06291,0.00113375,0.00113375,0.00113375
16,13457.2,1.18686,0.77926,1.11108,0.81472,0.68429,0.78112,0.50805,1.12141,0.71527,1.06052,0.00107187,0.00107187,0.00107187
17,14284,1.18222,0.77644,1.10928,0.81918,0.68654,0.78493,0.51292,1.11063,0.70611,1.05458,0.00101,0.00101,0.00101
18,16436.4,1.17681,0.77093,1.10582,0.81963,0.68743,0.78588,0.51535,1.10155,0.70354,1.05266,0.000948125,0.000948125,0.000948125
19,17277,1.16892,0.76353,1.09974,0.82353,0.68835,0.7886,0.51817,1.09877,0.69915,1.0489,0.00088625,0.00088625,0.00088625
20,18126,1.16346,0.75834,1.09822,0.8219,0.69176,0.79121,0.52138,1.09204,0.6958,1.04432,0.000824375,0.000824375,0.000824375
21,18966,1.15713,0.74862,1.09256,0.82449,0.69337,0.79264,0.52312,1.08949,0.69015,1.04036,0.0007625,0.0007625,0.0007625
22,19787.2,1.15018,0.74523,1.0895,0.82939,0.69231,0.7944,0.52577,1.08309,0.68264,1.04135,0.000700625,0.000700625,0.000700625
23,20580.9,1.12148,0.7202,1.06838,0.82292,0.69415,0.79266,0.52322,1.08694,0.68849,1.04181,0.00063875,0.00063875,0.00063875
24,22303,1.11142,0.71323,1.06482,0.8248,0.6942,0.79272,0.52382,1.08421,0.68534,1.03862,0.000576875,0.000576875,0.000576875
25,23120.7,1.10263,0.70562,1.05994,0.82798,0.6956,0.79578,0.52738,1.0789,0.67746,1.0395,0.000515,0.000515,0.000515
26,23914.4,1.09567,0.6987,1.05398,0.82803,0.69575,0.79586,0.52827,1.07519,0.67622,1.03409,0.000453125,0.000453125,0.000453125
27,24707.3,1.08952,0.69222,1.0519,0.8306,0.6953,0.79708,0.52854,1.07541,0.67264,1.03355,0.00039125,0.00039125,0.00039125
28,25495.2,1.07859,0.68378,1.04795,0.82945,0.69845,0.79792,0.53015,1.07209,0.67022,1.03225,0.000329375,0.000329375,0.000329375
29,26275,1.07459,0.67775,1.043,0.83115,0.69871,0.79821,0.53233,1.0667,0.66799,1.02905,0.0002675,0.0002675,0.0002675
30,27055.5,1.0669,0.67188,1.04001,0.83426,0.69952,0.80022,0.53376,1.06424,0.66415,1.02769,0.000205625,0.000205625,0.000205625
31,27845.3,1.05993,0.6652,1.03494,0.83478,0.69903,0.79985,0.53375,1.06333,0.66347,1.02615,0.00014375,0.00014375,0.00014375
32,29053.2,1.05435,0.66065,1.03318,0.83352,0.69953,0.80032,0.53408,1.06239,0.66142,1.02564,8.1875e-05,8.1875e-05,8.1875e-05
